Name;Department;Age;Experience;Attentiveness;Technical Literacy;Stress Resistance;Instruction Following;Learnability;Social Engineering Awareness;Reporting Culture;Authority Respect;Workload;Risk Aversion
Alex_1;Development;45;16;0.3047319168542577;0.7251288587874088;0.07203515721710052;0.6881966645515686;0.5616521687310566;0.6682621349111895;0.8592748395033206;0.7959646179160411;0.3511160045213243;0.6406223799503687
Carol_4;Development;28;0;0.34793617434832247;0.1651404085083923;0.8741868395147114;0.8343229869286615;0.45404403953602956;0.9028393896692805;0.04467687166628265;0.27054627744706694;0.5299373813029125;0.819504323854094
Piter_12;Development;46;9;0.3581859105484301;0.012869857752588199;0.6095687220689742;0.9861846818341956;0.3640898723787144;0.21263584053725204;0.5262316532248142;0.6988620487824911;0.8893807832824712;0.9153986927051373
Carol_13;Development;49;18;0.8276174438635912;0.4091549981046404;0.8850151042159972;0.9303011966661071;0.15952966956060932;0.3603204262996399;0.954082338839636;0.5306266285648394;0.04086541032426694;0.7495851462877053
Mary_15;Development;35;7;0.43266777090093855;0.9335665709249177;0.7834722643641138;0.17109311469280963;0.367061584382256;0.4587332522080585;0.6561951410371967;0.19934535503968787;0.7426193903364223;0.11688861117805083
Carol_16;Development;58;14;0.6808826964157018;0.6128963825740082;0.25978052926277506;0.4237180162914743;0.32522433951289875;0.5076046594997894;0.5581504535956319;0.06893773731951724;0.49464506781981843;0.1261543449366631
Bob_20;Development;28;13;0.9247505922744874;0.624661277254473;0.9278881607922057;0.1843219211273398;0.3076665186439539;0.17905968313858744;0.7387560681466665;0.5000596488267331;0.21167318168438698;0.32485401147960347
Trent_29;Development;40;14;0.05747144892822864;0.38982657458897074;0.2842367152091283;0.9128277317483572;0.675857768451562;0.5283342304388238;0.2749189669578731;0.5381266134482942;0.8909451193423976;0.6484031086771747
Mary_31;Development;27;18;0.5802372065939052;0.430658087070655;0.32791159120371227;0.17798115774343815;0.1661575633183584;0.26549694498674614;0.17645652673817724;0.18902416864688942;0.34075060957255066;0.3586518135068423
Vladi_34;Development;58;0;0.24084503417803216;0.9670122720578761;0.15221283826971987;0.8409335614819734;0.20471575834546385;0.8590199487871849;0.6683881519721918;0.5505696559215084;0.4304622076178277;0.6980895840741953
